City,State,Population,Land_Area,Population_Density
New Haven,Connecticut,130250.0,18.7,6948.0
Stamford,Connecticut,129638.0,37.6,3434.0
Concord,California,129295.0,30.5,4221.0
Elizabeth,New Jersey,129216.0,12.3,10459.0
Athens,Georgia,126913.0,116.4,1060.0
Thousand Oaks,California,126813.0,55.2,2335.0
Lafayette,Louisiana,126185.0,53.8,2372.0
Simi Valley,California,125613.0,41.5,3044.0
Topeka,Kansas,125310.0,61.5,2062.0
Norman,Oklahoma,124880.0,178.8,683.0
Fargo,North Dakota,124662.0,49.3,2450.0
Wilmington,North Carolina,123744.0,51.6,2278.0
Abilene,Texas,123420.0,106.7,1146.0
Odessa,Texas,123334.0,45.2,2608.0
Columbia,Missouri,123195.0,65.0,1856.0
Pearland,Texas,122460.0,46.3,2453.0
Victorville,California,122385.0,73.3,1668.0
Hartford,Connecticut,122105.0,17.4,7083.0
Vallejo,California,121692.0,30.7,3951.0
Allentown,Pennsylvania,121442.0,17.5,6882.0
Berkeley,California,121363.0,10.5,11547.0
Richardson,Texas,121323.0,28.6,3963.0
Arvada,Colorado,121272.0,38.6,3043.0
Ann Arbor,Michigan,119980.0,28.1,4298.0
Rochester,Minnesota,118935.0,54.6,2088.0
Cambridge,Massachusetts,118927.0,6.4,17289.0
Sugar Land,Texas,118488.0,34.0,3488.0
Lansing,Michigan,118210.0,39.1,2967.0
Evansville,Indiana,117979.0,47.3,2526.0
College Station,Texas,117911.0,51.0,2199.0
Fairfield,California,117133.0,40.9,2806.0
Clearwater,Florida,116946.0,25.9,4415.0
Beaumont,Texas,116825.0,82.1,1441.0
Independence,Missouri,116672.0,77.8,1504.0
Provo,Utah,116618.0,41.7,2803.0
West Jordan,Utah,116480.0,32.3,3520.0
Murrieta,California,116223.0,33.6,3324.0
Palm Bay,Florida,115552.0,65.7,1676.0
El Monte,California,115487.0,9.6,12063.0
Carlsbad,California,115382.0,37.7,3023.0
Temecula,California,114761.0,37.3,3031.0
Clovis,California,114584.0,24.2,4404.0
Springfield,Illinois,114230.0,60.1,1925.0
Meridian,Idaho,114161.0,29.8,3584.0
Westminster,Colorado,113166.0,31.7,3592.0
Costa Mesa,California,113003.0,15.7,7186.0
High Point,North Carolina,112791.0,55.2,2015.0
Manchester,New Hampshire,112673.0,33.1,3339.0
Pueblo,Colorado,112361.0,53.6,2058.0
Lakeland,Florida,112136.0,65.9,1615.0
Pompano Beach,Florida,112118.0,24.0,4558.0
West Palm Beach,Florida,111955.0,55.1,1963.0
Antioch,California,111502.0,29.4,3772.0
Everett,Washington,111475.0,33.3,3275.0
Downey,California,111126.0,12.4,9134.0
