zip_code,total_population,percent_white,percent_black,percent_asian,percent_hispanic,per_capita_income,median_age,total_households
81401,22518,75.0,0.0,0.0,23.0,22410.0,42.2,9501
81403,11459,84.0,0.0,0.0,13.0,25492.0,45.0,4257
81410,1577,85.0,0.0,0.0,14.0,33726.0,56.5,686
81411,6,100.0,0.0,0.0,0.0,,,5
81413,5374,89.0,1.0,1.0,9.0,24671.0,52.9,2088
81415,1288,92.0,0.0,1.0,2.0,27621.0,52.3,567
81416,13617,76.0,2.0,0.0,20.0,21708.0,39.1,5235
81418,1801,85.0,0.0,1.0,13.0,21356.0,45.6,713
81419,3816,89.0,0.0,0.0,9.0,24996.0,49.0,1577
81422,520,83.0,0.0,0.0,10.0,23059.0,48.2,320
81423,1660,92.0,0.0,0.0,2.0,28815.0,45.6,653
81424,1101,89.0,0.0,0.0,6.0,23337.0,49.7,482
81425,4967,66.0,1.0,1.0,29.0,20097.0,40.0,1978
81426,164,96.0,0.0,0.0,2.0,24373.0,34.0,74
81427,852,94.0,0.0,1.0,4.0,32253.0,50.8,413
81428,3875,89.0,0.0,1.0,8.0,31656.0,46.6,1467
81429,103,83.0,0.0,0.0,17.0,27402.0,63.7,51
81430,505,98.0,0.0,0.0,2.0,40767.0,51.8,334
81431,437,98.0,0.0,0.0,1.0,27013.0,41.2,166
81432,2780,96.0,0.0,0.0,3.0,33865.0,49.3,1242
81433,618,74.0,0.0,1.0,21.0,24388.0,43.1,268
81434,155,97.0,0.0,0.0,3.0,45344.0,46.6,63
81435,5101,86.0,0.0,2.0,11.0,45810.0,36.7,2180
81501,24568,76.0,1.0,1.0,18.0,18754.0,30.0,9467
81503,14507,77.0,0.0,1.0,19.0,23310.0,37.9,6035
81504,29955,84.0,1.0,0.0,12.0,23575.0,33.9,11514
81505,8874,88.0,1.0,0.0,9.0,43753.0,42.1,3894
81506,10695,87.0,0.0,2.0,8.0,37349.0,50.1,4843
81507,15466,92.0,0.0,1.0,5.0,36576.0,47.6,6262
81520,14346,70.0,1.0,0.0,27.0,17281.0,31.4,5425
81521,14700,88.0,0.0,0.0,10.0,26559.0,38.6,5925
81523,949,88.0,5.0,0.0,4.0,41012.0,50.6,538
81524,2193,89.0,0.0,0.0,10.0,36895.0,42.0,763
81525,854,98.0,0.0,0.0,2.0,31876.0,34.1,401
81526,5363,85.0,0.0,0.0,12.0,29577.0,49.4,2252
81527,1918,93.0,0.0,0.0,6.0,27885.0,46.1,746
81601,16177,67.0,0.0,1.0,30.0,28546.0,35.1,6076
81610,461,79.0,0.0,0.0,7.0,20930.0,30.6,138
81611,9869,87.0,0.0,2.0,9.0,57384.0,43.5,4412
81615,2823,94.0,0.0,1.0,3.0,53453.0,39.8,1261
81620,10895,64.0,1.0,0.0,35.0,36636.0,30.4,3685
81621,6606,67.0,0.0,4.0,28.0,36149.0,36.6,2512
81623,15002,66.0,0.0,0.0,32.0,29479.0,37.2,5491
81624,1446,89.0,1.0,0.0,7.0,26683.0,44.8,481
81625,12611,83.0,0.0,1.0,14.0,24771.0,36.1,4708
81630,801,94.0,0.0,0.0,6.0,27024.0,42.4,325
81631,8079,83.0,0.0,0.0,16.0,34504.0,37.0,2563
81632,9511,64.0,0.0,2.0,32.0,42684.0,33.0,3265
81635,6578,74.0,0.0,1.0,23.0,26824.0,35.1,2415
81637,7707,55.0,0.0,0.0,44.0,32168.0,33.8,2325
81638,143,78.0,0.0,0.0,17.0,32048.0,56.8,74
81639,2365,88.0,0.0,0.0,11.0,26804.0,40.1,928
81640,217,73.0,0.0,0.0,14.0,14106.0,53.1,66
81641,3584,85.0,0.0,0.0,11.0,30373.0,40.9,1488
81642,95,100.0,0.0,0.0,0.0,23226.0,55.9,33
81643,715,90.0,0.0,0.0,3.0,24590.0,50.6,291
81645,1046,65.0,0.0,0.0,27.0,34391.0,40.5,430
81646,152,100.0,0.0,0.0,0.0,22368.0,57.6,68
81647,6802,67.0,0.0,0.0,31.0,27511.0,33.5,2366
81648,2570,89.0,1.0,0.0,8.0,28140.0,33.5,971
81649,272,46.0,0.0,0.0,49.0,30982.0,40.6,91
81650,13476,69.0,1.0,0.0,28.0,22027.0,33.6,4372
81652,4478,70.0,0.0,2.0,25.0,25048.0,36.8,1658
81653,36,100.0,0.0,0.0,0.0,19100.0,29.7,27
81654,939,84.0,0.0,0.0,10.0,44729.0,48.3,481
81655,102,0.0,0.0,0.0,100.0,,11.7,12
81656,413,87.0,0.0,0.0,13.0,47492.0,40.6,118
81657,5668,92.0,2.0,1.0,4.0,68148.0,43.5,2515
82001,36161,77.0,3.0,1.0,15.0,25943.0,33.4,14837
82005,470,69.0,16.0,2.0,10.0,19971.0,21.0,0
82007,19689,75.0,3.0,0.0,19.0,21417.0,32.9,7852
82009,32018,86.0,2.0,2.0,10.0,35915.0,42.2,12813
82050,371,81.0,0.0,0.0,19.0,26254.0,48.3,84
82051,7,100.0,0.0,0.0,0.0,,,16
82053,1723,98.0,0.0,0.0,2.0,29785.0,41.4,539
82054,694,79.0,0.0,0.0,19.0,25036.0,42.3,257
82055,268,72.0,0.0,0.0,0.0,44953.0,58.7,109
82058,34,100.0,0.0,0.0,0.0,57115.0,78.0,26
82059,69,100.0,0.0,0.0,0.0,42899.0,67.4,58
82060,413,60.0,0.0,0.0,40.0,29184.0,31.6,191
82061,13,100.0,0.0,0.0,0.0,,,0
82063,76,22.0,0.0,0.0,78.0,53036.0,44.1,46
82070,21022,86.0,1.0,2.0,9.0,25299.0,27.5,8408
82072,14886,83.0,2.0,4.0,9.0,23307.0,25.9,6879
82073,37,41.0,27.0,8.0,8.0,830.0,16.5,0
82082,1473,91.0,0.0,0.0,7.0,27651.0,40.8,660
82083,380,83.0,6.0,0.0,11.0,22252.0,37.6,148
82190,781,88.0,0.0,0.0,6.0,37902.0,48.4,106
82201,6196,91.0,0.0,0.0,9.0,26478.0,46.4,2787
82210,601,98.0,0.0,0.0,2.0,22379.0,45.2,158
82212,256,100.0,0.0,0.0,0.0,27131.0,53.5,200
82213,635,100.0,0.0,0.0,0.0,28899.0,46.6,251
82214,1356,94.0,0.0,0.0,4.0,25722.0,51.1,564
82215,129,97.0,0.0,0.0,3.0,39805.0,55.1,78
